Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,66.7417,128,2.8238,63.9
AL-003,Baldwin County,68.8333,125,2.0552,66.8
AL-005,Barbour County,66.9417,125,2.1564,64.8
AL-007,Bibb County,64.8833,124,2.141,62.7
AL-009,Blount County,63.575,126,2.9566,60.6
AL-011,Bullock County,66.5667,126,2.4345,64.1
AL-013,Butler County,67.1583,128,2.5914,64.6
AL-015,Calhoun County,63.775,126,2.819,61
AL-017,Chambers County,64.05,126,2.4986,61.6
AL-019,Cherokee County,62.9083,124,2.3121,60.6
AL-021,Chilton County,65.1333,125,2.4257,62.7
AL-023,Choctaw County,66.4917,122,1.9875,64.5
AL-025,Clarke County,67.025,125,2.1623,64.9
AL-027,Clay County,63.1667,125,2.4698,60.7
AL-029,Cleburne County,62.7833,126,2.8822,59.9
AL-031,Coffee County,67.9,128,2.5082,65.4
AL-033,Colbert County,62.1333,125,2.2068,59.9
AL-035,Conecuh County,67.875,125,2.4618,65.4
AL-037,Coosa County,64.65,125,2.3801,62.3
AL-039,Covington County,67.8583,127,2.2993,65.6
AL-041,Crenshaw County,66.7667,123,2.3513,64.4
AL-043,Cullman County,63.0083,127,2.7022,60.3
AL-045,Dale County,68.0583,128,2.3827,65.7
AL-047,Dallas County,67.125,128,2.7922,64.3
AL-049,DeKalb County,61.2333,119,1.9785,59.3
AL-051,Elmore County,66.3417,125,2.5857,63.8
AL-053,Escambia County,68.3833,127,2.4029,66
AL-055,Etowah County,63.5,125,2.6391,60.9
AL-057,Fayette County,63.8333,118,1.8652,62
AL-059,Franklin County,61.95,123,2.0179,59.9
AL-061,Geneva County,68.475,128,2.4193,66.1
AL-063,Greene County,65.1583,115,1.3136,63.8
AL-065,Hale County,65.325,117,1.6283,63.7
AL-067,Henry County,67.9833,128,2.3025,65.7
AL-069,Houston County,68.95,128,2.4715,66.5
AL-071,Jackson County,61.1083,117,1.6938,59.4
AL-073,Jefferson County,64.4583,125,2.6563,61.8
AL-075,Lamar County,63.8833,118,1.8178,62.1
AL-077,Lauderdale County,61.8917,125,2.4091,59.5
AL-079,Lawrence County,61.8,117,1.7242,60.1
AL-081,Lee County,65.4,126,2.4199,63
AL-083,Limestone County,62.4083,126,2.5632,59.8
AL-085,Lowndes County,67.4333,128,2.8625,64.6
AL-087,Macon County,66.4083,126,2.371,64
AL-089,Madison County,62.15,125,2.2285,59.9
AL-091,Marengo County,66.0667,121,1.7764,64.3
AL-093,Marion County,62.5417,117,1.791,60.8
AL-095,Marshall County,62.6917,125,2.3574,60.3
