Location ID,Location,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AL-001,Autauga County,47,58.7,56.4,64.6,75.5,79.4,81.7,82.2,82,69.5,51.8,52.1
AL-003,Baldwin County,51.8,61.8,59.5,65.8,76.3,81,82.1,82.2,81.8,72.1,55.8,55.8
AL-005,Barbour County,49,58,57.5,64.5,75.6,79.8,81.6,81,81,70.3,52.8,52.2
AL-007,Bibb County,45.2,55.8,54.4,63.3,73.9,77.8,80.3,80.6,80.3,67.1,49.7,50.2
AL-009,Blount County,43.7,52.5,52.2,62.6,72.9,76.6,80.1,79.6,79.7,65.1,48.3,49.6
AL-011,Bullock County,48.3,58.5,56.8,64.4,75.1,79.2,81.1,80.6,80.7,69.8,52.3,52
AL-013,Butler County,48.9,60.2,57.6,64.8,75.1,79.4,81,81.2,81.2,70.3,52.7,53.5
AL-015,Calhoun County,44.1,52.7,52.9,62.9,73,76.4,79.8,79.8,78.9,66.3,49,49.5
AL-017,Chambers County,45.5,54.6,53.7,62.3,72.8,76.5,79.4,79.6,78,66.8,49.7,49.7
AL-019,Cherokee County,43,51.4,51.7,62.4,72.8,75.6,79.3,78.7,77.9,65.4,48,48.7
AL-021,Chilton County,45.3,56.5,54.6,63.2,73.8,77.8,80.3,80.9,80.4,67.8,50.4,50.6
AL-023,Choctaw County,48.3,58.5,56.9,64,74.8,78.9,81.2,81.6,81.1,68.2,51.8,52.6
AL-025,Clarke County,50.1,60.8,57.8,64,75,78.8,81.3,81.7,81.2,67.7,52.6,53.3
AL-027,Clay County,44.2,53.2,52.7,61.9,71.9,75.5,78.5,78.8,77.7,66,48.6,49
AL-029,Cleburne County,43.3,52,52.3,61.9,72.1,75.2,78.4,78.6,77.4,65.6,48,48.6
AL-031,Coffee County,49.9,59.1,57.8,65,76.4,81.1,81.9,82,82.2,72,53.5,53.9
AL-033,Colbert County,42,49.8,49.7,61.4,71.9,75.4,79.9,79.2,78.3,63.6,46.4,48
AL-035,Conecuh County,50.5,61.2,58.9,65.1,75.1,80.2,81.4,81.6,80.9,70.9,53.5,55.2
AL-037,Coosa County,45.2,55.5,54.1,63,73.4,77.2,79.9,80.3,79.5,67.6,49.9,50.2
AL-039,Covington County,50.1,60.2,58.3,64.9,75.4,80.6,81.5,81.8,81.4,71.6,53.8,54.7
AL-041,Crenshaw County,48.3,58.9,56.9,64.4,75.2,79.4,80.7,80.7,81.1,70.4,52.4,52.8
AL-043,Cullman County,43.3,51.9,51.4,61.8,72.2,76.3,79.7,79.2,79.5,64.1,47.4,49.3
AL-045,Dale County,50.3,59.2,58.2,65.2,76.6,81.4,82.2,82.1,82,71.7,53.7,54.1
AL-047,Dallas County,48.1,58.9,57.1,64.4,76.2,79.8,82.3,82.5,82.4,69.8,51.7,52.3
AL-049,DeKalb County,41.5,49.9,49.8,60.7,70.8,73.5,77.2,76.7,76.4,63.8,47,47.5
AL-051,Elmore County,47.1,58.2,56,64.6,75,78.9,81.3,81.5,81.1,69.2,51.6,51.6
AL-053,Escambia County,51.1,61.4,59.4,65.4,75.6,80.7,81.8,82,81.3,71.6,54.4,55.9
AL-055,Etowah County,43.8,51.8,52.4,62.9,73.3,76.1,79.8,79.2,78.9,65.8,48.6,49.4
AL-057,Fayette County,44.5,53.1,52.6,62.1,73.3,77,80,80.3,79.6,65.7,48.2,49.6
AL-059,Franklin County,42.1,50,49.8,60.9,71.7,74.8,79.2,78.8,78,63.8,46.4,47.9
AL-061,Geneva County,50.8,60,58.6,65.4,76.4,81.6,82.2,82.4,82.2,72.4,54.4,55.3
AL-063,Greene County,46.2,54.4,55,63.2,74,78.4,81.1,81.2,81,67.2,49.7,50.5
AL-065,Hale County,46.6,55.6,55.3,63.4,74.4,78.6,80.9,80.9,80.7,67.4,49.6,50.5
AL-067,Henry County,50.4,58.8,58.8,65.4,76.6,81.2,82.2,81.9,81.6,71.2,54,53.7
AL-069,Houston County,51.3,60.5,59.5,66.2,77.2,82,82.4,82.4,82.1,72.4,55.4,56
AL-071,Jackson County,41,49.1,49.4,60.4,70.6,73.7,77.6,77.1,76.7,63.7,46.6,47.4
AL-073,Jefferson County,44.3,54.5,53.5,63.3,73.7,77.5,80.5,80.6,80.4,66.2,49,50
AL-075,Lamar County,44.3,52.8,52.4,61.7,73.6,77.4,80.5,80.6,79.9,66,47.9,49.5
AL-077,Lauderdale County,41.5,49.6,49.4,61,71.6,75.4,79.7,78.8,78.3,63.2,46.2,48
AL-079,Lawrence County,41.9,49.9,49.5,60.5,71.5,75.1,79,78.4,78.2,63.5,46.3,47.8
AL-081,Lee County,47.1,56.3,55.4,63.6,74.2,77.7,80.4,80.2,79.5,68.2,51.2,51
AL-083,Limestone County,41.9,50.3,50.1,61.1,72,76.2,79.8,79,79.1,64.1,46.9,48.4
AL-085,Lowndes County,48.2,59.9,57.3,65.3,76,79.9,82,82.4,82.4,70.4,52.6,52.8
AL-087,Macon County,47.9,58.2,56.6,64.7,75,78.8,81.2,81,80.7,69.2,52,51.6
AL-089,Madison County,41.6,50.1,50,61.4,71.9,75.8,79.2,78.4,78.5,63.9,46.8,48.2
AL-091,Marengo County,48.3,57.9,56.4,63.9,74.8,78.8,81,81.1,81.1,67.9,50.2,51.4
AL-093,Marion County,42.9,51.3,50.9,60.9,72.1,75.5,79.3,79,78.6,64.4,46.9,48.7
AL-095,Marshall County,42.7,50.6,51.1,61.9,72.4,75.6,79.3,78.6,78.7,64.9,47.8,48.7
