County,State,Population,ALAND_SQMI,PopulationDensity,Temp
St. Clair County,Alabama,"89,512",631.581,142,63.9583
Etowah County,Alabama,"102,268",535.088,191,63.5
Cherokee County,Alabama,"26,196",553.525,47,62.9083
Limestone County,Alabama,"98,915",559.955,177,62.4083
Cleburne County,Alabama,"14,910",560.104,27,62.7833
Dale County,Alabama,"49,172",561.101,88,68.0583
Henry County,Alabama,"17,205",561.75,31,67.9833
Marshall County,Alabama,"96,774",565.845,171,62.6917
Geneva County,Alabama,"26,271",574.481,46,68.475
Morgan County,Alabama,"119,679",579.6,206,62.6
Houston County,Alabama,"105,882",579.856,183,68.95
Randolph County,Alabama,"22,722",580.549,39,63.1917
Colbert County,Alabama,"55,241",592.745,93,62.1333
Autauga County,Alabama,"55,869",594.444,94,66.7417
Chambers County,Alabama,"33,254",596.561,56,64.05
Clay County,Alabama,"13,235",603.961,22,63.1667
Lamar County,Alabama,"13,805",604.846,23,63.8833
Calhoun County,Alabama,"113,605",605.87,188,63.775
Lee County,Alabama,"164,542",607.537,271,65.4
Macon County,Alabama,"18,068",608.827,30,66.4083
Crenshaw County,Alabama,"13,772",608.865,23,66.7667
Winston County,Alabama,"23,629",612.981,39,62
Elmore County,Alabama,"81,209",618.446,131,66.3417
Bibb County,Alabama,"22,394",622.461,36,64.8833
Bullock County,Alabama,"10,101",622.812,16,66.5667
Fayette County,Alabama,"16,302",627.684,26,63.8333
Franklin County,Alabama,"31,362",633.919,49,61.95
Russell County,Alabama,"57,961",641.17,90,66.4583
Hale County,Alabama,"14,651",643.987,23,65.325
Blount County,Alabama,"57,826",644.831,90,63.575
Greene County,Alabama,"8,111",647.023,13,65.1583
Coosa County,Alabama,"10,663",650.911,16,64.65
Lauderdale County,Alabama,"92,729",668.013,139,61.8917
Pike County,Alabama,"33,114",672.068,49,66.8333
Coffee County,Alabama,"52,342",678.986,77,67.9
Lawrence County,Alabama,"32,924",690.684,48,61.8
Chilton County,Alabama,"44,428",692.852,64,65.1333
Lowndes County,Alabama,"9,726",715.911,14,67.4333
Tallapoosa County,Alabama,"40,367",716.522,56,64.4333
Perry County,Alabama,"8,923",719.656,12,65.825
Cullman County,Alabama,"83,768",734.741,114,63.0083
Talladega County,Alabama,"79,978",736.796,109,64.2833
Marion County,Alabama,"29,709",742.342,40,62.5417
Butler County,Alabama,"19,448",776.839,25,67.1583
DeKalb County,Alabama,"71,513",777.099,92,61.2333
Montgomery County,Alabama,"226,486",785.339,288,67.2
Shelby County,Alabama,"217,702",785.384,277,64.525
Walker County,Alabama,"63,521",791.002,80,63.675
Madison County,Alabama,"372,909",801.591,465,62.15
Conecuh County,Alabama,"12,067",850.2,14,67.875
Pickens County,Alabama,"19,930",881.345,23,64.8917
Barbour County,Alabama,"24,686",885.008,28,66.9417
Wilcox County,Alabama,"10,373",888.45,12,67.35
Sumter County,Alabama,"12,427",903.826,14,65.625
Choctaw County,Alabama,"12,589",913.467,14,66.4917
Escambia County,Alabama,"36,633",945.223,39,68.3833
