"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"AK","AK-013","Aleutians East Borough",42.2417,98,5.5987,36.6,"Alaska","Aleutians East Borough"
"AK","AK-016","Aleutians West Census Area",41.3833,98,3.46,37.9,"Alaska","Aleutians West Census Area"
"AK","AK-020","Anchorage Municipality",36.5917,98,5.1048,31.5,"Alaska","Anchorage Municipality"
"AK","AK-050","Bethel Census Area",36.375,98,7.2272,29.1,"Alaska","Bethel Census Area"
"AK","AK-060","Bristol Bay Borough",41.4417,97,7.1509,34.3,"Alaska","Bristol Bay Borough"
"AK","AK-063","Chugach Census Area",36.35,98,4.5271,31.8,"Alaska","Chugach Census Area"
"AK","AK-066","Copper River Census Area",29.175,98,5.348,23.8,"Alaska","Copper River Census Area"
"AK","AK-068","Denali Borough",30.7833,98,5.5375,25.2,"Alaska","Denali Borough"
"AK","AK-070","Dillingham Census Area",39.3083,97,7.3986,31.9,"Alaska","Dillingham Census Area"
"AK","AK-090","Fairbanks North Star Borough",31.775,98,5.3512,26.4,"Alaska","Fairbanks North Star Borough"
"AK","AK-100","Haines Borough",35.6667,94,2.5039,33.2,"Alaska","Haines Borough"
"AK","AK-105","Hoonah-Angoon Census Area",38.8333,94,2.5502,36.3,"Alaska","Hoonah-Angoon Census Area"
"AK","AK-110","Juneau City and Borough",35.825,93,2.4407,33.4,"Alaska","Juneau City and Borough"
"AK","AK-122","Kenai Peninsula Borough",38.0417,98,5.8503,32.2,"Alaska","Kenai Peninsula Borough"
"AK","AK-130","Ketchikan Gateway Borough",41.4167,83,1.5889,39.8,"Alaska","Ketchikan Gateway Borough"
"AK","AK-150","Kodiak Island Borough",42.5083,98,5.9249,36.6,"Alaska","Kodiak Island Borough"
"AK","AK-158","Kusilvak Census Area",35.0583,98,6.9124,28.1,"Alaska","Kusilvak Census Area"
"AK","AK-164","Lake and Peninsula Borough",40.6,98,6.7268,33.9,"Alaska","Lake and Peninsula Borough"
"AK","AK-170","Matanuska-Susitna Borough",33.125,98,5.1871,27.9,"Alaska","Matanuska-Susitna Borough"
"AK","AK-180","Nome Census Area",30.75,98,7.2109,23.5,"Alaska","Nome Census Area"
"AK","AK-185","North Slope Borough",21.4583,98,8.1507,13.3,"Alaska","North Slope Borough"
"AK","AK-188","Northwest Arctic Borough",28.625,98,8.0452,20.6,"Alaska","Northwest Arctic Borough"
"AK","AK-195","Petersburg Borough",37.7833,90,1.9844,35.8,"Alaska","Petersburg Borough"
"AK","AK-198","Prince of Wales-Hyder Census Area",44.0083,86,1.626,42.4,"Alaska","Prince of Wales-Hyder Census Area"
"AK","AK-220","Sitka City and Borough",42.15,94,2.6866,39.5,"Alaska","Sitka City and Borough"
"AK","AK-230","Skagway Municipality",32.9583,95,2.9391,30,"Alaska","Skagway Municipality"
"AK","AK-240","Southeast Fairbanks Census Area",28.8417,97,5.1409,23.7,"Alaska","Southeast Fairbanks Census Area"
"AK","AK-275","Wrangell City and Borough",41.025,84,1.6626,39.4,"Alaska","Wrangell City and Borough"
"AK","AK-282","Yakutat City and Borough",36.4417,98,4.427,32,"Alaska","Yakutat City and Borough"
"AK","AK-290","Yukon-Koyukuk Census Area",29.9167,98,6.1177,23.8,"Alaska","Yukon-Koyukuk Census Area"
"AL","AL-001","Autauga County",66.7417,128,2.8238,63.9,"Alabama","Autauga County"
"AL","AL-003","Baldwin County",68.8333,125,2.0552,66.8,"Alabama","Baldwin County"
"AL","AL-047","Dallas County",67.125,128,2.7922,64.3,"Alabama","Dallas County"
"AL","AL-049","DeKalb County",61.2333,119,1.9785,59.3,"Alabama","DeKalb County"
"AL","AL-051","Elmore County",66.3417,125,2.5857,63.8,"Alabama","Elmore County"
"AL","AL-053","Escambia County",68.3833,127,2.4029,66,"Alabama","Escambia County"
"AL","AL-055","Etowah County",63.5,125,2.6391,60.9,"Alabama","Etowah County"
"AL","AL-057","Fayette County",63.8333,118,1.8652,62,"Alabama","Fayette County"
"AL","AL-059","Franklin County",61.95,123,2.0179,59.9,"Alabama","Franklin County"
"AL","AL-061","Geneva County",68.475,128,2.4193,66.1,"Alabama","Geneva County"
"AL","AL-063","Greene County",65.1583,115,1.3136,63.8,"Alabama","Greene County"
"AL","AL-065","Hale County",65.325,117,1.6283,63.7,"Alabama","Hale County"
"AL","AL-067","Henry County",67.9833,128,2.3025,65.7,"Alabama","Henry County"
"AL","AL-069","Houston County",68.95,128,2.4715,66.5,"Alabama","Houston County"
"AL","AL-071","Jackson County",61.1083,117,1.6938,59.4,"Alabama","Jackson County"
"AL","AL-073","Jefferson County",64.4583,125,2.6563,61.8,"Alabama","Jefferson County"
"AL","AL-075","Lamar County",63.8833,118,1.8178,62.1,"Alabama","Lamar County"
"AL","AL-077","Lauderdale County",61.8917,125,2.4091,59.5,"Alabama","Lauderdale County"
"AL","AL-079","Lawrence County",61.8,117,1.7242,60.1,"Alabama","Lawrence County"
"AL","AL-081","Lee County",65.4,126,2.4199,63,"Alabama","Lee County"
"AL","AL-083","Limestone County",62.4083,126,2.5632,59.8,"Alabama","Limestone County"
"AL","AL-005","Barbour County",66.9417,125,2.1564,64.8,"Alabama","Barbour County"
