"CountyName","StateAbbr","LocationName","asset_id","asset_latitude","asset_longitude","CountyFIPS","AsthmaRate","h_TotalPopulation","SmokingRate","h_latitude","h_longitude","emissions_per_sq_mile","ALAND_SQMI","PopulationDensity","Temp","StateDesc","asset_name","County","Population"
"acadia","LA",22001960500,1833543511.5,30.25,-92.375,22001,9.75,6278,23.05,30.263105165,-92.33653796,0.00528303689763291,655.169,95,68.6,"Louisiana","United States_Louisiana_","acadia parish",62045
"accomack","VA",51001090533.3333,1833552198.66667,37.75,-75.6666666666667,51001,10.3666666666667,4631,20.2,37.75350763,-75.6755646966667,0.00073110171583221,449.31,72,59.8417,"Virginia","United States_Virginia_","accomack county",32316
"adair","IA",19001960150,1833546212,41.375,-94.5,19001,8.4,2317.5,18.35,41.330280405,-94.468348465,0.015022304539498,569.271,13,47.575,"Iowa","United States_Iowa_","adair county",7152
"adair","KY",21001970600,1833551236,37,-85.25,21001,10.7,1403,31.1,36.99126699,-85.25961151,0.000619544589095518,405.288,47,58.8917,"Kentucky","United States_Kentucky_","adair county",19202
"adair","MO",29001950200,1833545991,40.25,-92.75,29001,10,3019,22.8,40.17145042,-92.72533308,0.00323900777691736,567.324,45,51.2417,"Missouri","United States_Missouri_","adair county",25343
"adams","CO",8001008471.5,1833557620.5,40,-104.625,8001,9.55,5675.5,18.25,39.928951825,-104.63231,0.00431572869308849,1166.305,444,48.6583,"Colorado","United States_Colorado_","adams county",517421
"adams","IL",17001010300,1833548193.66667,39.9166666666667,-91.0833333333333,17001,9.06666666666667,4387.66666666667,18.8333333333333,39.9878546966667,-91.1203662,0.00128880884555207,855.141,77,52.475,"Illinois","United States_Illinois_","adams county",65435
"adams","ND",38001965600,1833561578,46.25,-102.5,38001,8.5,2343,16.5,46.09685008,-102.5285067,0.0117681738682467,987.547,2,39.175,"North Dakota","United States_North Dakota_","adams county",2216
"adams","OH",39001770200,1833550363,39,-83.5,39001,10.9,4815,27.3,38.98272672,-83.54926914,0.000366858295507703,583.867,47,54.7917,"Ohio","United States_Ohio_","adams county",27698
"adams","PA",42001030752,1833558180.5,39.875,-77.125,42001,9.75,3983.5,18.5,39.863689425,-77.14279854,0.00112181452522053,518.688,199,53.4417,"Pennsylvania","United States_Pennsylvania_","adams county",103009
"adams","WI",55001950550,1833563234.5,43.875,-89.75,55001,10,4134,19.8,43.83171193,-89.71663482,0.00172215869878282,645.646,31,43.6833,"Wisconsin","United States_Wisconsin_","adams county",20220
"aiken","SC",45003021000,1833549969.5,33.625,-81.5,45003,10.9,5489.5,23.7,33.62067885,-81.53917042,0.00146988564032234,1070.68,160,66.2083,"South Carolina","United States_South Carolina_","aiken county",170872
"alachua","FL",12001002007,1833555151.5,29.625,-82.5,12001,8.95,4550.5,15.05,29.637437265,-82.469418965,0.00136100465013996,875.539,307,71.9,"Florida","United States_Florida_","alachua county",269043
"alamance","NC",37001021801,1833543992,36,-79.5,37001,9.1,4441,18,35.98582877,-79.4952231,0.00169125756539965,423.445,400,60.575,"North Carolina","United States_North Carolina_","alamance county",169509
"alameda","CA",6001451202,1833564384,37.75,-121.75,6001,8.5,3634,10.8,37.73476885,-121.7688825,0.00318720890920964,737.306,2267,59.6833,"California","United States_California_","alameda county",1671329
"alamosa","CO",8003960100,1833545555,37.5,-106,8003,9.8,2532,17.7,37.45602745,-105.9296478,0.00646342176851117,722.577,22,42.2667,"Colorado","United States_Colorado_","alamosa county",16233
"alexander","IL",17003957800,1833544126,37,-89.25,17003,12.2,1528,25.1,37.0569492,-89.21333857,0.0331227569092377,235.394,24,58.1917,"Illinois","United States_Illinois_","alexander county",5761
"alfalfa","OK",40003955780,1833544892.8,36.7,-98.35,40003,9.26,1989.2,18.98,36.715138674,-98.335387448,0.0212053457527933,866.565,7,58.1167,"Oklahoma","United States_Oklahoma_","alfalfa county",5702
"allamakee","IA",19005960350,1833546586.5,43.25,-91.375,19005,8.7,3215.5,18.4,43.21776829,-91.387104775,0.00128384600852148,639.044,21,44.9583,"Iowa","United States_Iowa_","allamakee county",13687
"allegan","MI",26005030700.5,1833546492,42.625,-85.875,26005,11.3,6826.5,24,42.59381096,-85.867354965,0.0566275212297946,825.253,143,48.35,"Michigan","United States_Michigan_","allegan county",118081
"allegany","MD",24001001150,1833577351,39.625,-78.75,24001,9.95,3796,20.7,39.560492745,-78.752436255,0.000141934850040872,422.188,167,53.0917,"Maryland","United States_Maryland_","allegany county",70416
"alleghany","NC",37005950100,1833544057,36.5,-81,37005,10.1,4079,23.7,36.48288799,-81.00792674,0.000774918596171639,234.418,48,53.725,"North Carolina","United States_North Carolina_","alleghany county",11137
"allegheny","PA",42003451105,1833547962,40.5,-80.25,42003,9.6,4196,16,40.51411872,-80.23534506,0.000832793716550029,730.117,1666,52.3417,"Pennsylvania","United States_Pennsylvania_","allegheny county",1216045
"allen","KS",20001952700,1833545155.33333,37.9166666666667,-95.3333333333333,20001,10,2728,19.1666666666667,37.93189787,-95.32570704,0.00829782755268467,500.297,25,55.4917,"Kansas","United States_Kansas_","allen county",12369
"allen","KY",21003920400,1833563052.5,36.75,-86.125,21003,10.5,3142.5,27.2,36.72128143,-86.136170035,0.000315134711387878,344.341,62,58.8083,"Kentucky","United States_Kentucky_","allen county",21315
"amherst","VA",51009010600,1833571493,37.5,-79,51009,11.6,2758,25,37.4503491,-79.04812991,0.000561239234155617,473.962,67,56.55,"Virginia","United States_Virginia_","amherst county",31605
"amite","MS",28005950200,1833564401.5,31.125,-90.75,28005,10.4,4749.5,21.05,31.164286485,-90.748965995,0.00125341762578578,730.1,17,67.2583,"Mississippi","United States_Mississippi_","amite county",12297
"anderson","KS",20003953600,1833545671,38.25,-95.25,20003,9.6,5104,19.4,38.31830714,-95.20084797,0.00890344543423409,579.645,14,54.95,"Kansas","United States_Kansas_","anderson county",7858
"anderson","TN",47001020901,1833613039,36.25,-84,47001,9.6,5837,21.8,36.21022507,-84.02147708,0.00218748414314078,337.203,228,59.375,"Tennessee","United States_Tennessee_","anderson county",76978
"anderson","TX",48001950901,1833559506,31.75,-95.75,48001,9.1,5938,24.6,31.71895478,-95.73615275,0.00204228621804483,1062.631,54,65.9917,"Texas","United States_Texas_","anderson county",57735
"andrew","MO",29003010350,1833548179.5,40,-94.875,29003,9.9,2557,24.15,40.010121485,-94.83661932,0.00510768389241415,432.631,41,51.6833,"Missouri","United States_Missouri_","andrew county",17712
"antelope","NE",31003979733.3333,1833569755.66667,42.0833333333333,-98.0833333333333,31003,8.16666666666667,2569.33333333333,16.7333333333333,42.1164040466667,-98.0799287633333,0.00279452740371624,857.157,7,46.4,"Nebraska","United States_Nebraska_","antelope county",6298
"antrim","MI",26009960200,1833613664,45,-85,26009,10.8,3388,23.7,45.03935791,-85.02596955,0.000755964498321213,475.679,49,42.7417,"Michigan","United States_Michigan_","antrim county",23324
"appanoose","IA",19007950150,1833545298.5,40.75,-92.875,19007,8.55,2227.5,18.45,40.806688415,-92.8551545,0.0131781229442073,497.291,25,49.6167,"Iowa","United States_Iowa_","appanoose county",12426
"appling","GA",13001950200,1833547386,31.75,-82.25,13001,11.2,4530,27.7,31.81026967,-82.31341795,0.00175673165735616,508.274,36,68.725,"Georgia","United States_Georgia_","appling county",18386
"appomattox","VA",51011040300,1833550243,37.25,-78.75,51011,10.5,4321,21.1,37.31785085,-78.74095988,0.00584082900110728,334.219,48,57.8167,"Virginia","United States_Virginia_","appomattox county",15911
"aransas","TX",48007950100,1833543442,28.25,-97,48007,8.5,5495,18.5,28.17940159,-96.94740078,0.0729470209168973,252.069,93,71.7583,"Texas","United States_Texas_","aransas county",23510
"archer","TX",48009020233.3333,1833568799.33333,33.5833333333333,-98.6666666666667,48009,9.13333333333333,3058,20.7,33.60657568,-98.7111478266667,0.0107618219649258,903.289,9,63.85,"Texas","United States_Texas_","archer county",8553
"arkansas","AR",5001480600,1833543796.5,34.25,-91.375,5001,10.4,2318,23.675,34.30588498,-91.38098818,0.0942535774749229,988.813,18,63.3667,"Arkansas","United States_Arkansas_","arkansas county",17486
"aroostook","ME",23003952100,1833577023.66667,46.5833333333333,-67.9166666666667,23003,12.4666666666667,2930.33333333333,22.6333333333333,46.4796742766667,-67.9386002566667,0.00210075736217998,6671.093,10,37.9667,"Maine","United States_Maine_","aroostook county",67055
