"CountyName","StateAbbr","LocationName","asset_id","asset_latitude","asset_longitude","CountyFIPS","AsthmaRate","h_TotalPopulation","SmokingRate","h_latitude","h_longitude","emissions_per_sq_mile","ALAND_SQMI","PopulationDensity","Temp","StateDesc","asset_name","County","Population"
"conway","AR",5029950300,1833543904,35.25,-92.75,5029,10.1,5513,22.4,35.20160949,-92.78638806,0.00113915064930292,552.276,38,60.925,"Arkansas","United States_Arkansas_","conway county",20846
"dakota","MN",27037061252.5,1833546767.5,44.625,-93.125,27037,8.1,2095,13.15,44.627654195,-93.106325585,0.000418982054964005,562.544,763,43.2667,"Minnesota","United States_Minnesota_","dakota county",429021
"brazos","TX",48041000771.3333,1833546891,30.6666666666667,-96.3333333333333,48041,8.03333333333333,5204.66666666667,15.6666666666667,30.6288682166667,-96.2926183933333,0.000614596481968995,586.138,391,68,"Texas","United States_Texas_","brazos county",229211
"dodge","GA",13091960450,1833547774.5,32.125,-83.25,13091,10.15,4178.5,23.3,32.116925125,-83.231124925,0.00120719711436238,495.957,42,67.9917,"Georgia","United States_Georgia_","dodge county",20605
"brunswick","NC",37019020330,1833571801.25,34.0625,-78.1875,37019,9.625,3697.75,21.375,34.042054375,-78.2045282675,0.00182220689471498,849.193,168,65.1083,"North Carolina","United States_North Carolina_","brunswick county",142820
"jim wells","TX",48249950500,1833548675.5,27.625,-98.125,48249,8.1,5375,16.05,27.555956475,-98.09964684,0.0012598442610617,865.17,47,73.4083,"Texas","United States_Texas_","jim wells county",40482
"twiggs","GA",13289060100,1833567351,32.75,-83.5,13289,10.7,5072,25,32.74500798,-83.41139158,0.0019189826741501,359.26,23,66.9417,"Georgia","United States_Georgia_","twiggs county",8120
"macon","MO",29121960200,1833545437.33333,39.9166666666667,-92.5833333333333,29121,10.2666666666667,2952,22.6333333333333,39.85441674,-92.5286509733333,0.00212775486234023,801.208,19,52.425,"Missouri","United States_Missouri_","macon county",15117
"muscatine","IA",19139050500,1833545404.5,41.5,-91.125,19139,8.5,5516.5,18.55,41.481675935,-91.16190654,0.00755313078986937,437.445,98,48.3417,"Iowa","United States_Iowa_","muscatine county",42664
"midland","TX",48329008676.3333,1833553058.16667,31.875,-102,48329,8.6,7389.5,17.75,31.8774593016667,-102.064560166667,0.0111508429557503,900.358,196,65.4833,"Texas","United States_Texas_","midland county",176832
"mitchell","KS",20123176660,1833551949.2,39.4,-98.2,20123,9.4,2926.6,17.6,39.39325153,-98.19533532,0.0077429673757652,701.792,9,52.375,"Kansas","United States_Kansas_","mitchell county",5979
"lasalle","IL",17099963100,1833557603.33333,41.25,-89,17099,9.23333333333333,4035.66666666667,19.1,41.3201595,-89.0066549866667,0.00346394685049571,1135.168,96,49.2917,"Illinois","United States_Illinois_","lasalle county",108669
"oscoda","MI",26135970500,1833608791,44.5,-84.25,26135,11.2,1622,23.4,44.5720685,-84.2426296,0.00227306384087504,565.674,15,42.0917,"Michigan","United States_Michigan_","oscoda county",8241
"garfield","WA",53023970300,1833558914.33333,46.4166666666667,-117.583333333333,53023,10.2,2266,15,46.43157658,-117.5451622,0.0892415139493805,710.835,3,47.6917,"Washington","United States_Washington_","garfield county",2225
"fentress","TN",47049965000,1833585650,36.5,-85,47049,10.2,3174,23.9,36.47202169,-84.93346317,0.000738709364500885,498.619,37,58.2417,"Tennessee","United States_Tennessee_","fentress county",18523
"san luis obispo","CA",6079011034,1833560263.5,35.5416666666667,-120.458333333333,6079,9.46666666666667,7217.16666666667,12.3666666666667,35.507103075,-120.52940265,0.0138823099771514,3300.617,86,59.7333,"California","United States_California_","san luis obispo county",283111
"tama","IA",19171290400,1833546376.5,42.125,-92.5,19171,8.4,2761.5,18,42.089452625,-92.54787723,0.00172527267335404,721.011,23,46.4083,"Iowa","United States_Iowa_","tama county",16854
"grant","WA",53025010757.4286,1833552767.92857,47.1785714285714,-119.428571428571,53025,10.5071428571429,5232.64285714286,19.4928571428571,47.18391281,-119.456664135714,0.0245021315336524,2679.501,36,49.4333,"Washington","United States_Washington_","grant county",97733
"lagrange","IN",18087970100,1833558828,41.75,-85.25,18087,10.7,6324,24.9,41.70473604,-85.33383,0.000594287171305058,379.63,104,48.8667,"Indiana","United States_Indiana_","lagrange county",39614
"logan","OK",40083600550,1833557001.5,35.875,-97.5,40083,10.15,6520.5,19.6,35.914235975,-97.50138197,0.0010244848491059,743.842,65,59.8417,"Oklahoma","United States_Oklahoma_","logan county",48011
"jones","NC",37103920300,1833550997,35,-77.5,37103,10.7,3489,25,35.08799672,-77.51047813,0.00496115611427601,471.368,20,64.125,"North Carolina","United States_North Carolina_","jones county",9419
"clark","OH",39023002603,1833557840,40,-83.875,39023,10.05,3838,20.2,39.993255335,-83.85501949,0.00215754794414746,396.877,338,52.5417,"Ohio","United States_Ohio_","clark county",134083
"lake","TN",47095960150,1833544029,36.375,-89.5,47095,10.8,3916,30.4,36.339528855,-89.491005765,0.00173405560072357,165.785,42,59.6833,"Tennessee","United States_Tennessee_","lake county",7016
"sequoyah","OK",40135030203,1833547480.5,35.5,-94.625,40135,12,6961.5,27.1,35.493540175,-94.65664776,0.000979454184462791,673.474,62,60.9833,"Oklahoma","United States_Oklahoma_","sequoyah county",41569
"worth","MO",29227960100,1833550671,40.5,-94.375,29227,9.8,2171,20.5,40.47916193,-94.42209629,0.00230811025459431,266.629,8,50.4583,"Missouri","United States_Missouri_","worth county",2013
"okeechobee","FL",12093910201.75,1833547318.25,27.375,-80.875,12093,9.775,3938,28.375,27.34710023,-80.858179915,0.0108689429367342,769.157,55,75.1,"Florida","United States_Florida_","okeechobee county",42168
"holmes","MS",28051950250,1833549739.5,33.25,-90.125,28051,12.95,3474,27.9,33.21964685,-90.14348941,0.0399773422234071,756.674,22,65.375,"Mississippi","United States_Mississippi_","holmes county",17010
